/neodc/esacci/ghg/data/crdp_4/GOSAT/CH4_GOS_SRFP/v2.3.8/,esacci.GHG.satellite-orbit-frequency.L2.CH4.TANSO-FTS.GOSAT.SRFP.v2-3-8.r1.v20180702
/neodc/esacci/ghg/data/crdp_4/GOSAT/CH4_GOS_SRPR/v2.3.8/,esacci.GHG.satellite-orbit-frequency.L2.CH4.TANSO-FTS.GOSAT.SRPR.v2-3-8.r1.v20180702
/neodc/esacci/ghg/data/crdp_4/GOSAT/CO2_GOS_OCFP/v7.0/,esacci.GHG.satellite-orbit-frequency.L2.CO2.TANSO-FTS.GOSAT.OCFP.v7-0-1.r1.v20180702
/neodc/esacci/ghg/data/crdp_4/GOSAT/CO2_GOS_SRFP/v2.3.8/,esacci.GHG.satellite-orbit-frequency.L2.CO2.TANSO-FTS.GOSAT.SRFP.v2-3-8.r1.v20180702
/neodc/esacci/ghg/data/crdp_4/SCIAMACHY/CH4_SCI_IMAP/v7.2/,esacci.GHG.satellite-orbit-frequency.L2.CH4.SCIAMACHY.Envisat.IMAP.v7-2.r1.v20180702
/neodc/esacci/ghg/data/crdp_4/SCIAMACHY/CH4_SCI_WFMD/v4.0/,esacci.GHG.satellite-orbit-frequency.L2.CH4.SCIAMACHY.Envisat.WFMD.v4-0.r1.v20180702
/neodc/esacci/ghg/data/crdp_4/SCIAMACHY/CO2_SCI_BESD/v02.01.02/,esacci.GHG.satellite-orbit-frequency.L2.CO2.SCIAMACHY.Envisat.BESD.v02-01-02.r1.v20180702
/neodc/esacci/ghg/data/crdp_4/SCIAMACHY/CO2_SCI_WFMD/v4.0/,esacci.GHG.satellite-orbit-frequency.L2.CO2.SCIAMACHY.Envisat.WFMD.v4-0.r1.v20180702
/neodc/esacci/land_cover/data/land_cover_maps/v1.6.1/,esacci.LC.5-yrs.L4.LCCS.multi-sensor.multi-platform.Map.1-6-1.r1.v20170120
/neodc/esacci/land_cover/data/water_bodies/v4.0/,esacci.LC.13-yrs.L4.WB.asar.Envisat.Map.4-0.r1.v20170120
/neodc/esacci/ocean_colour/data/v3.1-release/geographic/netcdf/all_products/5day/,esacci.OC.5-days.L3S.OC_PRODUCTS.multi-sensor.multi-platform.MERGED.3-1.geographic.v20180604
